pmid,type,source,full_text_path,in_included_set
11707642,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,"/home/zorro/repos/autonima-results/articles/ace_outputs/html/Alcoholism, clinical and experimental research/11707642.html",True
12122034,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/12122034.html,True
12498754,incomplete,/home/zorro/repos/autonima-results/articles/elsevier_output/,/home/zorro/repos/autonima-results/articles/elsevier_output/12498754/text.txt,True
14506401,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,"/home/zorro/repos/autonima-results/articles/ace_outputs/html/Alcoholism, clinical and experimental research/14506401.html",True
23838052,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/23838052.html,True
26021304,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/26021304.html,True
30154290,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/30154290.html,True
7771636,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,"/home/zorro/repos/autonima-results/articles/ace_outputs/html/Alcoholism, clinical and experimental research/7771636.html",True
8561288,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,"/home/zorro/repos/autonima-results/articles/ace_outputs/html/Alcoholism, clinical and experimental research/8561288.html",True
9161613,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,"/home/zorro/repos/autonima-results/articles/ace_outputs/html/Alcoholism, clinical and experimental research/9161613.html",True
11263683,unavailable,pubget,,True
11779280,unavailable,pubget,,False
14662551,unavailable,pubget,,False
15456932,unavailable,pubget,,False
15546698,unavailable,pubget,,False
15982446,unavailable,pubget,,True
15997015,unavailable,pubget,,False
16500088,unavailable,pubget,,True
16782178,unavailable,pubget,,False
17033628,unavailable,pubget,,False
17077132,unavailable,pubget,,False
17097276,unavailable,pubget,,False
17341445,unavailable,pubget,,False
17443018,unavailable,pubget,,False
17976957,unavailable,pubget,,False
18055927,unavailable,pubget,,False
18187528,unavailable,pubget,,True
18289882,unavailable,pubget,,False
18402938,unavailable,pubget,,False
18662866,unavailable,pubget,,False
18691766,unavailable,pubget,,False
1877728,unavailable,pubget,,True
18940597,unavailable,pubget,,True
19032963,unavailable,pubget,,False
19285558,unavailable,pubget,,False
19463699,unavailable,pubget,,False
1953418,unavailable,pubget,,False
19619664,unavailable,pubget,,False
19643925,unavailable,pubget,,False
19653814,unavailable,pubget,,False
19860794,unavailable,pubget,,True
19884612,unavailable,pubget,,False
19891807,unavailable,pubget,,False
19926237,unavailable,pubget,,False
19961866,unavailable,pubget,,False
20045399,unavailable,pubget,,True
20621162,unavailable,pubget,,True
20647266,unavailable,pubget,,False
20814988,unavailable,pubget,,False
20816768,unavailable,pubget,,False
20863671,unavailable,pubget,,False
20875635,unavailable,pubget,,True
2088347,unavailable,pubget,,False
20951979,unavailable,pubget,,False
21035788,unavailable,pubget,,False
2106374,unavailable,pubget,,False
21310189,unavailable,pubget,,True
21410483,unavailable,pubget,,True
21451018,unavailable,pubget,,True
