project_name,run,manual_column,annotation_column,annotated_r,annotated_r2,all_analyses_r,all_analyses_r2,all_studies_r,all_studies_r2
cue_reactivity,v4,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,0.8279327524271893,0.6854726425416616,0.8158062429966698,0.6655398261123415,0.7852625543740598,0.6166372793020732
cue_reactivity,v4,2_drug_neutral_2020_wbonly,drug_cue_reactivity,0.8512914079741483,0.7246970612906077,0.7748666466656378,0.6004183201148503,0.7549918627549783,0.570012712826232
cue_reactivity,v4,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,0.6470879961212885,0.4187228747242647,0.6552661143368053,0.42937368059805514,0.6210853520916082,0.38574701458275695
decision_making,v2,adm_july2019,ambiguous_dm,0.5756942297565899,0.33142384617503334,0.5833692482033305,0.340319679749319,0.5880148891953,0.3457615099153609
decision_making,v2,rdm_july2019,risky_dm,0.4507555956093031,0.20318060697309762,0.4845259460427343,0.23476539238860666,0.4904250703163684,0.2405167495948149
decision_making,v2,perceptual_dm_july2019,perceptual_dm,0.8145561947260923,0.6635017943666516,0.6599678179425004,0.4355575207197853,0.6488679207588521,0.421029578589916
dementia,v3,all,dementia_all,0.6725213905378926,0.45228502073102067,0.6541017463300769,0.4278490945520563,0.6780896817656651,0.459805616517061
dementia,v3,decrease,dementia_decreasing_activity,0.6790650378358487,0.4611293256110026,0.6419776576448215,0.41213531291513167,0.6518447899030108,0.42490163012370025
dementia,v3,functional,functional,0.6038771304859156,0.3646675887239036,0.5264699728561634,0.2771706323191694,0.5415938278321989,0.2933238743459335
dementia,v3,structural,structural,0.6029603945243416,0.36356123736494966,0.606721741366361,0.3681112714466295,0.6226891709508815,0.3877418036194961
executive_function,v1,all,pooled_executive_function,0.922731927107682,0.8514342093038566,0.9163300024729687,0.8396606734321108,0.9105401613767625,0.8290833854800207
executive_function,v1,working_memory,working_memory,0.8896674832348568,0.7915082307254442,0.8755183630711848,0.766532404074847,0.8661938020090867,0.7502917026389568
executive_function,v1,inhibition,inhibition,0.8074709398020461,0.6520093186247995,0.8252144199390943,0.6809788388754159,0.8271365072622084,0.6841548016459253
executive_function,v1,flexibility,cognitive_flexibility,0.5410260492079917,0.2927091859216082,0.5925442654875541,0.351108706562185,0.5873535694768476,0.344984215577194
vbm_of_ptsd,v1,nonptsdgtptsd_merged,decreased_gm,0.7800520366616223,0.6084811798999449,0.5983853116444672,0.3580649811918461,0.5423914578863522,0.29418849358808263
vbm_of_substance_use,v2,all_drug_classes,all_drug_classes,0.7160432391027809,0.5127179202648022,0.6591823482786072,0.43452136828209903,0.6693283705335213,0.4480004676010588
vbm_of_substance_use,v2,alcohol,alcohol,0.740307950389986,0.5480558614106219,0.4963715381956801,0.2463847039307455,0.5115441813765992,0.261677449500255
vbm_of_substance_use,v2,nicotine,nicotine,0.600449218011341,0.3605392634104309,0.40766522955356743,0.16619093938696283,0.37761234148670986,0.14259108044307559
vbm_of_substance_use,v2,opioids,opioids,0.598377449346613,0.35805557188655834,0.29866676918905816,0.08920183901783015,0.3422869875646592,0.11716038185608915
vbm_of_substance_use,v2,stimulants,stimulants,0.7552542730508187,0.5704090169615206,0.46569368700650304,0.21687061011771083,0.4819520755940745,0.2322778031694365
vbm_of_substance_use,v2,cannabis,cannabis,0.4851811560182719,0.23540075415522668,0.31777091259308726,0.10097835289024351,0.32944165273185266,0.1085318025546946
